id;name;ingredients;recipe;type;cuisine;minutes;calories;image;accepted
91;Куырдак (Поджарка казахская);Легкое 170, печень (Говяжья) 110, сердце 60, сало курдючное 90, лук репчатый 40, перец 0,5, соль.;Нашинкованный репчатый лук и субпродукты, нарезанные мелкими кусочками, обжаривают с курдючным салом. Добавляют немного  бульона, соль, перец и тушат до готовности. Куырдак можно  готовить из говядины, баранины или конины.;Вторые блюда;Казахская кухня;20;206;kuyrdak-основное-фото-рецепта.jpg;true
92;Манты с бараниной ;Мука 75, баранина 180, лук 60, сало топленое 5, уксус (3%) 25, перец молотый красный, соль.;Жирную баранину нарезают мелкими кубиками и соединяют с рубленым репчатым уком, холодной водой, солью, перцем. Крутое пресное  тесто раскатывают на тонкие круглые лепешки весом по 20 г так,  чтобы края их были тоньше середины. На лепешку кладут фарш, края  защипывают. Варят манты на пару в течение 30 мин. Подают, полив  бульоном, с уксусом и перцем.;Вторые блюда;Казахская кухня;30;174;b3622499.jpg;true
93;Ризотто по-милански ;Рис 125, лук репчатый 30, масло сливочное 25, сыр тертый 75, шампиньоны 25, бульон 125, помидоры 125, перец, соль.;Мелко нашинкованный лук слегка пассируют. Рис промывают, подсушивают и добавляют в лук. Прогревают, помешивая, пока рис  не станет прозрачным. Вливают бульон, заправляют солью и перцем  и тушат до готовности. Половину требуемого по рецепту количества  тертого сыра смешивают с рисом. Припущенные шампиньоны и  нарезанные ломтиками помидоры кладут в смазанную жиром и  обсыпанную тертым сыром форму, сверху плотно укладывают горячий  рис, затем форму опрокидывают на подогретое блюдо. Подают к  столу, посыпав оставшимся сыром.;Вторые блюда;Итальянская кухня ;35;113;https___img.anews.com_media_posts_images_20170313_64997428.jpg;true
94;Ризотто по-пьемонтски ;Рис 80, лук репчатый 30, масло сливочное 20, тертый сыр 15, бульон 100, шафран, перец, соль.;Рубленый лук слегка обжаривают в сливочном масле, добавляют рис и жарят до тех пор, пока крупа не пропитается сливочным маслом.  Вливают частями бульон (Бульона должно быть по объему в два раза  больше, чем риса), добавляют шафран, соль, перец, перемешивают и  тушат, не накрывая крышкой. Рис должен быть немного разваренным.  Перед подачей вводят тертый сыр и сливочное масло, по желанию -  ветчину или трюфели.;Вторые блюда;Итальянская кухня ;40;119;rizotto_s_telyachim_yazykom_foto.jpg;true
95;"Салат ""Тоска""";Цыпленок 80, сельдерей 30, грибы 30, каперсы 5, сыр тертый 10, майонез 40, помидоры свежие 20, соль.;Нарезанные соломкой филе отварного цыпленка, сельдерей, свежие отваренные грибы соединяют с каперсами и тертым сыром,  заправляют солью и майонезом и перемешивают. Готовый салат  украшают помидорами.;Салаты;Итальянская кухня ;20;239;76b7ed1fb420273f6dc238b8c29421e93d79cfe9.jpg;true
96;"Салат ""Фигаро""";Язык телячий 50, свекла 40, сельдерей 40, салат 20, анчоусы 10, помидоры свежие 40, майонез 50, соль.;Вареный телячий язык, припущенный сельдерей, анчоусы и салат нарезают соломкой, вареную свеклу - кружочками. Все хорошо  перемешивают и заправляют майонезом и солью. В майонез  предварительно добавляют мелко нарубленные, без кожицы и семян,  свежие помидоры.;Салаты;Итальянская кухня ;15;133;salat_quotfigaroquot-409992.jpg;true
97;Куриные окорочка а-ля Тоскана;2стол. ложки подсолнечного масла 1 луковица среднего размера 2 зубчка чеснока 100 мп красного вина 500 г. протертых помидоров 100 г. консервированных маслин (без косточек), свежий шалфей;Лук нарезать тонкими полукольцами. Чеснок очистить и пропустить через чесночницу. К окорочкам добавить лук и чеснок и быстро  обжарить.  Положить протертые помидоры. Накрыть сковороду крышкой и тушить  около 15 мин. Незадолго до готовности добавить маслины и  измельченный шалфей. Украсить целыми листиками шалфея. Ни в коем  случае не солить ни птицу, ни соус, так как помидоры и маслины  достаточно остры сами по себе.   В одной порции 310 ккал;Вторые блюда;Итальянская кухня;25;218;kurinye-nojki-v-temnoi-glazuri.jpg;true
98;Куриные ломтики в турецком соусе из грецких орехов;1 пучок кореньев для супа 1л воды, соль, 200 г. грецких орехов, 2 луковицы 3 зубчика чеснока, 3 стол. ложки лимонного сока 125 г йогурта, 2 стол. ложки оливкового масла 0,5 чайн. ложки паприки, 2 стол. ложек масла из грецких орехов, мята;1. Положить очищенные и мелко нарезанные коренья в подсоленную воду и довести ее до кипения. В течение 10 мин на небольшом огне  варить в ней до готовности куриное филе. Достать филе из бульо- на,  остудить и нарезать толстыми одинаковыми полосками.   Чеснок, лимонный сок, йогурт, оливковое масло и 1/8 л остывшего  куриного бульона смешать миксером до образования однородной массы.   Листья салата и запить их сверху ореховым соусом. Смешать  растительное масло с порошком паприки и сбрызнуть им полоски филе. Украсить листиками мяты.   В одной порции 690 ккал;Вторые блюда;Итальянская кухня;40;265;p_O_7.jpg;true
99;"Суп ""Карри""";Баранина 120, лук 20, петрушка, морковь, сельдерей (Корень), жир 8, лавр, кар и 2, лимон 1/6 шт., сметана 20, соль.;Мелко нашинкованный лук обжаривают в жире до золотистого цвета, добавляют карри и жарят еще 3 мин. Нашинкованные овощи жарят  вместе с кусочками мяса, кладут лавр, соль, вливают воду. Варят  на слабом огне, пока вода не выкипит наполовину. После этого  мясо вынимают, отвар протирают через сито, заправляют лимонным  соком и сметаной. Подают вместе с мясом и рассыпчатым рисом.;Первые блюда;Индийская кухня;120;89;unnamed0.jpg;true
100;Суп куриный по-индийски;Цыпленок 70, лук 20, масло сливочное 5, перец стручковый 2, имбирь, кориандр, перец, соль.;Тушку цыпленка мелко рубят, заливают водой, немного солят и варят, по мере необходимости добавляя воду. Хорошо растирают  острый стручковый перец, кориандр, черный перец, имбирь и  разводят все это небольшим количеством воды до густой кашицы.  Лук мелко нарезают и обжаривают в сливочном масле. Мясо цыпленка  и лук кладут в супницу и заливают бульоном с разведенной в нем  кашицей из пряностей. Отдельно подают отваренный сухой рис.;Первые блюда;Индийская кухня;80;115;karri-sup-iz-kuricy-s-risom.jpg;true
101;Квас;Хлеб ржаной  — 1 Килограмм , Дрожжи  — 15-20 Грамм (или 1/2 чайной ложки сухих), Сахар  — 1 Стакан (по вкусу, можно и больше), Вода  — 6 Литров;нарезанный ломтиками хлеб подсушить, залить кипятком добавить сахар и оставить остывать до 30ти градусов. Кдрожжам добавить сахар и залить в кастрюлю с хлебом. Оставить бродить на пару дней. Процедить через льняное полотенце от хлеба и его остатков .Жидкость разлить по бутылком и оставить в холодильнике еще на день-два.;Напитки;Русская кухня;3;27;domashniy-kvas.jpg;true
102;Молочный коктель с клубникой;Клубники  — 300 Грамм, Молока  — 1,5 Стакана, Мороженого пломбир  — 150 Грамм, Сахара  — 2 Ст. ложки ;Клубнику с сахаром измельчить, добавить мягкое мороженное и влить молоко. Взбить коктель до появления пенки и подать;Напитки;Французская кухня;5;83;-204204382.jpg;true
103;Вино из черной смородины;Смородина черная  — 3 Килограмма,  Вода  — 2 Литра,  Сахар  — 500 Грамм;Перебрать смородину, разомнуть любым способом и добавить литр воды, перемешать и оставить на 4 суток, переодически помешивая. Пото процедить житкость от ягод, перелить в чистые бутылки и добавить сахар. Убрать в сухое место на полтора месяца. Готовое вино снять с осадки и разлить по бутылкам, хранить в погребе.;Напитки;Итальянская кухня ;180;76;image003-181.jpg;true
104;Лимонад из тархуна, лимона и мяты;Вода  — 1,5 Литра, Тархун  — 5 Грамм (лист), Мята  — 10 Грамм (лист), Сахар  — 120 Грамм, Лимон  — 1 Штука;Листья тархуна засыпать ст. ложкой сахара и разомнуть. С лимона снять цедру и выдавить сок. Залить водой цедру, листья тархуна и мяты, добавить весь сахар и варить 5 минут. Остудить, процедить и можно подавать.;Напитки;Русская кухня;60;94;Bez-nazvanija-5-11.jpg;true
105;Компот из черной смородины;Сахар  — 600 Грамм, Черная смородина  — 1 Килограмм;Залить ягоды кипятком, дать остыть 5 минут, а потом снова прокипятить и разлить по банкам, которые сразу же закать и хранить в прохладном месте.;Напитки;Русская кухня;40;52;40ff48435cc1b6d0f75f7fd45ad79967.jpg;true
106;Компот из киви;Киви  — 5-6 Штук, Мандарин  — 4 Штуки, Яблоко  — 1 Штука, Лимонная кислота  — 1/2 Чайных ложки (или лимонный сок по вкусу), Сахар  — 4-5 Ст. ложек ;Фрукты поместить в дуршлаг и прокипятить их 2-3 минуты. В отвар добавить сахар и варить 5 минут. В банки добавить фрукты и залить жидкостю, можно употреблять. ;Напитки;Русская кухня;30;43;2821635.jpg;true
107;Сангрия;Вино красное п/сладкое  — 400 Миллилитров, Яблоки  — 3 Штуки, Клубника  — 15 Штук (свежемороженая), Апельсин  — 2 Штуки, Мед (или сахар)  — 1/2 Стакана (по вкусу), Лед  — 100 Грамм;Из апельсинов надо выжать сок. Яблоки очистите и нарежьте дольками. Соедините все ингредиенты в чаше измельчителя. Пробейте до однородности. Можно подавать;Напитки;Итальянская кухня ;5;96;sangria.jpg;true
108;"Сливочное пиво из ""Гарри Поттера""";Сливки  — 30 Миллилитров, Корица  — 0,5 Чайных ложки, Мороженое  — 70-100 Грамм, Газировка  — 1/2 Стакана, Ириски  — 9 Штук ;В сотейник вылить сливки, добавить ириски и корицу. На маленьком огне растопить ириски и довести массу до густой консистенции. После жэтого охладить сливки и смешать с мородженным в блендере, Половину стакана заполните сливками, а вторую половину - газировкой и перемешать.;Напитки;Английская кухня;15;106;maxresdefault.jpg;true
